id,class,subject,period,semester,grade
STU1001,Grade_11A,Science_Lab,Quarter_1,Semester_1,73.6
STU1001,Grade_11A,Advanced_Math,Quarter_1,Semester_1,96.9
STU1002,Grade_11A,Advanced_Math,Quarter_3,Semester_2,88.3
STU1002,Grade_11A,Science_Lab,Quarter_3,Semester_2,88.8
STU1003,Grade_12A,History,Quarter_1,Semester_1,82.8
STU1003,Grade_12A,Advanced_Math,Quarter_1,Semester_1,91.3
STU1004,Grade_11A,History,Quarter_3,Semester_2,93.6
STU1004,Grade_11A,Advanced_Math,Quarter_2,Semester_1,91.1
STU1005,Grade_11A,Advanced_Math,Quarter_3,Semester_2,90.3
STU1005,Grade_11A,Science_Lab,Quarter_3,Semester_2,74.5
STU1006,Grade_12A,Science_Lab,Quarter_1,Semester_1,86.6
STU1006,Grade_12A,Advanced_Math,Quarter_2,Semester_1,89.9
STU1007,Grade_12B,History,Quarter_3,Semester_2,72.7
STU1007,Grade_12B,Science_Lab,Quarter_1,Semester_1,74.7
STU1008,Grade_12A,History,Quarter_2,Semester_1,79.1
STU1008,Grade_12A,English_Lit,Quarter_1,Semester_1,87.7
STU1009,Grade_12B,English_Lit,Quarter_2,Semester_1,91.0
STU1009,Grade_12B,History,Quarter_1,Semester_1,86.8
STU1010,Grade_12B,Advanced_Math,Quarter_4,Semester_2,80.5
STU1010,Grade_12B,History,Quarter_2,Semester_1,97.2
STU1011,Grade_12B,Advanced_Math,Quarter_3,Semester_2,97.1
STU1011,Grade_12B,Science_Lab,Quarter_4,Semester_2,94.7
STU1012,Grade_11A,Advanced_Math,Quarter_1,Semester_1,86.3
STU1012,Grade_11A,English_Lit,Quarter_2,Semester_1,80.2
STU1013,Grade_12B,English_Lit,Quarter_2,Semester_1,70.2
STU1013,Grade_12B,Science_Lab,Quarter_4,Semester_2,93.7
STU1014,Grade_11A,Advanced_Math,Quarter_1,Semester_1,85.9
STU1014,Grade_11A,English_Lit,Quarter_3,Semester_2,76.8
STU1015,Grade_12B,Advanced_Math,Quarter_4,Semester_2,88.8
STU1015,Grade_12B,Science_Lab,Quarter_3,Semester_2,91.5
STU1016,Grade_12B,Advanced_Math,Quarter_2,Semester_1,93.2
STU1016,Grade_12B,English_Lit,Quarter_4,Semester_2,80.4
STU1017,Grade_12A,Advanced_Math,Quarter_2,Semester_1,83.9
STU1017,Grade_12A,English_Lit,Quarter_2,Semester_1,75.4
STU1018,Grade_12B,English_Lit,Quarter_1,Semester_1,82.3
STU1018,Grade_12B,History,Quarter_3,Semester_2,95.2
STU1019,Grade_12B,Science_Lab,Quarter_2,Semester_1,84.4
STU1019,Grade_12B,English_Lit,Quarter_3,Semester_2,76.8
STU1020,Grade_11A,Science_Lab,Quarter_2,Semester_1,89.9
STU1020,Grade_11A,English_Lit,Quarter_1,Semester_1,77.7
STU1021,Grade_11A,English_Lit,Quarter_3,Semester_2,82.4
STU1021,Grade_11A,Advanced_Math,Quarter_3,Semester_2,93.2
STU1022,Grade_12B,Advanced_Math,Quarter_1,Semester_1,83.0
STU1022,Grade_12B,Science_Lab,Quarter_1,Semester_1,79.4
STU1023,Grade_11A,History,Quarter_3,Semester_2,79.8
STU1023,Grade_11A,Advanced_Math,Quarter_4,Semester_2,73.8
STU1024,Grade_11A,English_Lit,Quarter_1,Semester_1,76.1
STU1024,Grade_11A,Advanced_Math,Quarter_1,Semester_1,93.9
STU1025,Grade_12B,Science_Lab,Quarter_3,Semester_2,84.8
STU1025,Grade_12B,History,Quarter_3,Semester_2,93.9
SUMMARY,-,Filtered Average Score,-,-,85.24%
